frame_idx,timestamp_s,track_id,range_m,range_rate_m_s,confirmed
15292,32.4947,99,0.6445,0.0547,1
15293,32.4974,99,0.6445,0.0547,1
15294,32.5001,99,0.6445,0.0547,1
15295,32.5028,99,0.6445,0.0547,1
15296,32.5055,99,0.6445,0.0547,1
15297,32.5079,99,0.6445,0.0547,1
15298,32.5103,99,0.6445,0.0547,1
15299,32.5127,99,0.6445,0.0547,1
15300,32.5151,99,0.6445,0.0547,1
15301,32.5158,99,0.6445,0.0547,1
15302,32.5165,99,0.6445,0.0547,1
15303,32.5172,99,0.6445,0.0547,1
15304,32.5179,99,0.6445,0.0547,1
15305,32.5196,99,0.6445,0.0547,1
15306,32.5212,99,0.6445,0.0547,1
15307,32.5229,99,0.6445,0.0547,1
15308,32.5246,99,0.6445,0.0547,1
15309,32.5273,99,0.6445,0.0547,1
15310,32.5300,99,0.6445,0.0547,1
15311,32.5327,99,0.6445,0.0547,1
15312,32.5354,99,0.6445,0.0547,1
17116,36.2751,108,0.6557,0.0212,1
17117,36.2758,108,0.6557,0.0212,1
17118,36.2765,108,0.6557,0.0212,1
17119,36.2786,108,0.6557,0.0212,1
17120,36.2807,108,0.6557,0.0212,1
17121,36.2828,108,0.6557,0.0212,1
17122,36.2849,108,0.6557,0.0212,1
17123,36.2871,108,0.6557,0.0212,1
17124,36.2893,108,0.6557,0.0212,1
17125,36.2916,108,0.6557,0.0212,1
17126,36.2938,108,0.6557,0.0212,1
17127,36.2967,108,0.6557,0.0212,1
17128,36.2996,108,0.6557,0.0212,1
17129,36.3025,108,0.6557,0.0212,1
17130,36.3054,108,0.6557,0.0212,1
17131,36.3059,108,0.6557,0.0212,1
17132,36.3064,108,0.6557,0.0212,1
17133,36.3068,108,0.6557,0.0212,1
17134,36.3073,108,0.6557,0.0212,1
17135,36.3168,108,0.6557,0.0212,1
17136,36.3263,108,0.6557,0.0212,1
17137,36.3358,108,0.6557,0.0212,1
17138,36.3453,108,0.6557,0.0212,1
17139,36.3458,108,0.6557,0.0212,1
17140,36.3464,108,0.6557,0.0212,1
17141,36.3470,108,0.6557,0.0212,1
17142,36.3475,108,0.6557,0.0212,1
17143,36.3480,108,0.6557,0.0212,1
17144,36.3486,108,0.6557,0.0212,1
17145,36.3491,108,0.6557,0.0212,1
17146,36.3496,108,0.6557,0.0212,1
17147,36.3587,108,0.6557,0.0212,1
17148,36.3677,108,0.6557,0.0212,1
17149,36.3768,108,0.6557,0.0212,1
17150,36.3858,108,0.6557,0.0212,1
17151,36.3910,108,0.6557,0.0212,1
17152,36.3961,108,0.6557,0.0212,1
17153,36.4013,108,0.6557,0.0212,1
17154,36.4064,108,0.6557,0.0212,1
17155,36.4071,108,0.6557,0.0212,1
17156,36.4078,108,0.6557,0.0212,1
17157,36.4085,108,0.6557,0.0212,1
17158,36.4092,108,0.6557,0.0212,1
17159,36.4098,108,0.6557,0.0212,1
17160,36.4104,108,0.6557,0.0212,1
17161,36.4110,108,0.6557,0.0212,1
17162,36.4116,108,0.6557,0.0212,1
17163,36.4123,108,0.6557,0.0212,1
17164,36.4129,108,0.6557,0.0212,1
17165,36.4136,108,0.6557,0.0212,1
17166,36.4142,108,0.6557,0.0212,1
17167,36.4167,108,0.6557,0.0212,1
17168,36.4192,108,0.6557,0.0212,1
17169,36.4217,108,0.6557,0.0212,1
17170,36.4242,108,0.6557,0.0212,1
17665,37.4719,110,0.7171,0.0499,1
17666,37.4728,110,0.7171,0.0499,1
17667,37.4761,110,0.7171,0.0499,1
17668,37.4794,110,0.7171,0.0499,1
17669,37.4827,110,0.7171,0.0499,1
17670,37.4861,110,0.7171,0.0499,1
17671,37.4883,110,0.7171,0.0499,1
17672,37.4905,110,0.7171,0.0499,1
17673,37.4927,110,0.7171,0.0499,1
17674,37.4949,110,0.7171,0.0499,1
17675,37.4975,110,0.7171,0.0499,1
17676,37.5001,110,0.7171,0.0499,1
17677,37.5027,110,0.7171,0.0499,1
17678,37.5053,110,0.7171,0.0499,1
17679,37.5058,110,0.7171,0.0499,1
17680,37.5063,110,0.7171,0.0499,1
17681,37.5069,110,0.7171,0.0499,1
17682,37.5074,110,0.7171,0.0499,1
17683,37.5121,110,0.7171,0.0499,1
17684,37.5168,110,0.7171,0.0499,1
17685,37.5215,110,0.7171,0.0499,1
17686,37.5262,110,0.7171,0.0499,1
17687,37.5268,110,0.7171,0.0499,1
17688,37.5274,110,0.7171,0.0499,1
17689,37.5281,110,0.7171,0.0499,1
17690,37.5287,110,0.7171,0.0499,1
17691,37.5292,110,0.7171,0.0499,1
17692,37.5298,110,0.7171,0.0499,1
17693,37.5303,110,0.7171,0.0499,1
17694,37.5308,110,0.7171,0.0499,1
