alg,clutter_mode,pfa,num_ref,num_guard,cluster_gap,merge_tol,nms_sep,max_peaks,multi_pct,multi_frames,total_peaks,peaks_per_frame,median_tap_sep,sep_pass_pct
GO,mean,0.02,6,1,0,1,0,6,5.104117061344647,1179,5428,0.23498852764188927,2,100.0
GO,mean,0.005,8,1,0,2,2,6,0.0,0,1674,0.07247066972596217,0,0.0
GO,mti,0.01,8,2,1,2,2,6,0.26840988787393394,62,1972,0.0853716611108706,3,100.0
OS,max_path,0.02,6,1,0,2,2,6,1.1818693449932898,273,10778,0.46660028572665485,17,100.0
CA,mti,0.05,4,1,1,0,1,6,45.352612667215034,10476,34076,1.4752153772890602,11,91.56921043937892
CA,max_path,0.05,4,1,1,0,0,6,16.65440062340361,3847,21451,0.9286549201264124,19,100.0
GO,mti,0.01,6,1,1,0,0,6,0.0432919173990216,10,406,0.01757651846400277,2,70.0
GO,mti,0.02,8,2,1,1,0,4,5.212346854842201,1204,5365,0.2322611368457509,2,100.0
CA,mean,0.05,6,1,0,2,1,6,36.49508636737521,8430,30779,1.332481925624486,19,100.0
CA,mti,0.01,8,2,0,0,2,6,8.97874366855708,2074,8922,0.3862504870340707,2,100.0
OS,mean,0.005,8,1,1,2,1,6,7.329321615654357,1693,19451,0.8420710853283692,3,99.94124559341951
OS,mti,0.02,6,1,0,1,1,6,7.545781202649465,1743,10815,0.4682020866704186,2,100.0
GO,mean,0.02,8,1,1,2,2,4,0.7922420884020953,183,6482,0.28061820858045805,3,100.0
GO,max_path,0.005,8,2,0,0,2,6,0.0,0,347,0.015022295337460497,0,0.0
GO,mti,0.005,8,2,0,1,1,4,0.2857266548335426,66,740,0.03203601887527598,2,100.0
GO,mti,0.005,8,1,0,2,2,6,0.00432919173990216,1,319,0.013810121650287891,3,100.0
CA,max_path,0.02,6,1,1,2,0,4,1.757651846400277,406,12301,0.5325338759253647,18,100.0
CA,mean,0.05,8,2,0,0,2,4,52.4957790380536,12126,36231,1.5685094592839517,3,100.0
GO,max_path,0.02,4,2,0,1,2,6,0.01731676695960864,4,1570,0.06796831031646391,34,100.0
OS,mean,0.05,4,1,1,0,2,4,1.675397203342136,387,3686,0.15957400753279363,2,100.0
OS,mean,0.005,8,1,0,2,1,4,8.17784319667518,1889,19660,0.8511190960647647,3,98.9534275248561
GO,max_path,0.01,6,1,1,1,1,4,0.0,0,810,0.035066453093207495,0,0.0
GO,max_path,0.02,6,1,1,0,1,6,0.030304342179315123,7,2834,0.12268929390882723,37,100.0
OS,max_path,0.05,8,1,1,0,2,6,57.09338066582969,13188,41735,1.8067881726481665,18,100.0
OS,max_path,0.05,4,2,1,2,0,4,0.19914282003549938,46,5392,0.23343001861552448,34,100.0
OS,mti,0.01,4,2,0,2,1,4,0.0,0,75,0.0032468938049266204,0,0.0
OS,mean,0.05,4,2,1,2,0,4,1.3117450971903546,303,8061,0.34897614615351313,9,100.0
GO,mean,0.01,4,1,1,0,1,4,0.012987575219706482,3,55,0.0023810554569461883,2,100.0
GO,mti,0.005,4,1,1,0,1,4,0.0,0,3,0.0001298757521970648,0,0.0
CA,max_path,0.005,8,1,1,2,0,4,0.0432919173990216,10,4423,0.19148015065587254,34,100.0
OS,mti,0.05,4,2,1,1,1,4,2.515260400883155,581,4831,0.20914325295467337,2,100.0
